term	search	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm	hprec_strict	hrecall_strict	hf1_strict	hprec_soft	hrecall_soft	hf1_soft
tf	search_basic	False	True	cosine	1,1,1,1	0.5691	0.3949	0.2827	0.1336	0.4156	0.3804	0.7281	0.5822	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	cosine	3,3,4,1	0.5594	0.4115	0.2841	0.1318	0.4183	0.3859	0.7274	0.5882	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	cosine	1,1,1,4	0.5227	0.3872	0.2667	0.1370	0.3922	0.3633	0.7237	0.5705	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	dice	1,1,1,1	0.4940	0.3946	0.2879	0.1304	0.3922	0.3675	0.7210	0.5701	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	dice	3,3,4,1	0.4834	0.4009	0.3010	0.1298	0.3951	0.3739	0.7204	0.5760	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	dice	1,1,1,4	0.4741	0.3894	0.2853	0.1310	0.3830	0.3524	0.7183	0.5610	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	jaccard	1,1,1,1	0.4940	0.3946	0.2879	0.1304	0.3922	0.3675	0.7210	0.5701	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	jaccard	3,3,4,1	0.4834	0.4009	0.3010	0.1298	0.3951	0.3739	0.7204	0.5760	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	jaccard	1,1,1,4	0.4741	0.3894	0.2853	0.1310	0.3830	0.3524	0.7183	0.5610	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	overlap	1,1,1,1	0.3741	0.2485	0.2134	0.1356	0.2787	0.2848	0.7125	0.5283	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	overlap	3,3,4,1	0.3741	0.2774	0.2189	0.1348	0.2901	0.2908	0.7184	0.5354	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	True	overlap	1,1,1,4	0.3666	0.2475	0.2136	0.1360	0.2759	0.2838	0.7110	0.5255	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	cosine	1,1,1,1	0.3836	0.2083	0.1614	0.1180	0.2511	0.2589	0.6745	0.4976	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	cosine	3,3,4,1	0.4315	0.2138	0.1692	0.1314	0.2715	0.2768	0.6943	0.5228	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	cosine	1,1,1,4	0.3591	0.1994	0.1550	0.1148	0.2378	0.2569	0.6623	0.4881	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	dice	1,1,1,1	0.3774	0.2634	0.1922	0.1179	0.2776	0.2766	0.6640	0.4869	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	dice	3,3,4,1	0.3996	0.2694	0.1995	0.1364	0.2895	0.2938	0.6858	0.5133	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	dice	1,1,1,4	0.3573	0.2594	0.1875	0.1141	0.2681	0.2684	0.6501	0.4736	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	jaccard	1,1,1,1	0.3774	0.2634	0.1922	0.1179	0.2776	0.2766	0.6640	0.4869	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	jaccard	3,3,4,1	0.3996	0.2694	0.1995	0.1364	0.2895	0.2938	0.6858	0.5133	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	jaccard	1,1,1,4	0.3573	0.2594	0.1875	0.1141	0.2681	0.2684	0.6501	0.4736	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	overlap	1,1,1,1	0.2544	0.1750	0.1401	0.1161	0.1898	0.2119	0.6228	0.4306	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	overlap	3,3,4,1	0.2548	0.1855	0.1431	0.1144	0.1945	0.2157	0.6402	0.4432	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	False	False	overlap	1,1,1,4	0.2545	0.1686	0.1387	0.1159	0.1873	0.2094	0.6168	0.4261	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	cosine	1,1,1,1	0.5088	0.3885	0.2320	0.1484	0.3764	0.3563	0.7397	0.5799	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	cosine	3,3,4,1	0.5080	0.3750	0.2439	0.1516	0.3756	0.3637	0.7418	0.5850	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	cosine	1,1,1,4	0.4788	0.3867	0.2333	0.1473	0.3663	0.3469	0.7372	0.5740	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	dice	1,1,1,1	0.4888	0.3713	0.2402	0.1463	0.3668	0.3463	0.7335	0.5677	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	dice	3,3,4,1	0.4901	0.3678	0.2523	0.1466	0.3701	0.3493	0.7357	0.5706	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	dice	1,1,1,4	0.4870	0.3754	0.2334	0.1460	0.3652	0.3445	0.7310	0.5646	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	jaccard	1,1,1,1	0.4888	0.3713	0.2402	0.1463	0.3668	0.3463	0.7335	0.5677	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	jaccard	3,3,4,1	0.4901	0.3678	0.2523	0.1466	0.3701	0.3493	0.7357	0.5706	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	jaccard	1,1,1,4	0.4870	0.3754	0.2334	0.1460	0.3652	0.3445	0.7310	0.5646	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	overlap	1,1,1,1	0.3311	0.2300	0.2038	0.1391	0.2550	0.2687	0.7133	0.5192	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	overlap	3,3,4,1	0.3278	0.2390	0.1915	0.1487	0.2528	0.2688	0.7198	0.5228	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tf	search_basic	True	True	overlap	1,1,1,4	0.3072	0.2299	0.2010	0.1387	0.2460	0.2639	0.7124	0.5166	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
