ID	paper_id	title	text	api	What municipalities have placed restrictions on tobacco products?	Can I use vaping to quit smoking?	How common is vaping amongst teenagers?	What companies have violated FDA regulations? 	What disparities exist in tobacco use?	How old do you have to be to buy cigarettes?	Are there any reports on illegally traded tobacco products?	What regulations has the FDA passed?	What is the effect of second hand smoke?	Is vaping bad for me?
1	18452408-6611-3d6e-868e-f3ffefd32024	Qatar attends meet on illicit trade of tobacco products	THE State of Qatar is participating in the first meeting of the Protocol to Eliminate Illicit Trade in Tobacco Products with a delegation from the Ministry of Public Health and Hamad Medical Corporation's Tobacco Control Center. The Qatar delegation had participated also in the eighth session of the WHO Framework Convention for Tobacco Control (FCTC), which concluded in Geneva on Saturday. Communications officer on the FCTC Dr Kholoud al Mutawa, who is also Head of the Non-Communicable Diseases department in the Ministry of Public Health, reviewed the positive developments and achievements of the countries of the Eastern Mediterranean region in the area of tobacco control and the challenges faced by some states in controlling this practice. She noted that five countries in the region have joined the Protocol to Eliminate Illicit Trade in Tobacco Products during the current year, expressing the hope that more states will join the protocol in the coming period. She highlighted that the region's countries are facing a major challenge in keeping tobacco control a top priority in the face of the other challenges they have to deal with, especially as a large group of countries are facing emergencies or are recovering from a previous emergency. She maintained, however, that the ministries of health are pushing the tobacco control agenda forward. (QNA)	bing							THE State of Qatar is participating in the first meeting of the Protocol to Eliminate Illicit Trade in Tobacco Products			
2	3bc8a07a-e4d6-3894-938a-890c0c9be3f4	Beaches into ashtrays': After conditional veto, smoking still OK on most NJ beaches	On an Atlantic City beach, a group of five adults recently sat a few feet from the ocean, some with lit cigars in hand.  They placed makeshift ashtrays, really just upside-down seashells, next to their beach chairs, storing discarded cigars there. Two from the group - Monica Plumley, 48, of Glassboro, and Shelley Gatanis, 50, of Woodstown - had just met each other that day, and bonded over cigars.  "I want to be able to do anything that's appropriate freely," Plumley said of their right to smoke on the sand. "I keep it all in my little area. . . . I put it in a neat little pile, pick it up and take it up for trash."  "If they're going to smoke, they're going to smoke," added Gatanis' father, Doug Hopkins, 72, visiting from Appling, Ga. He, like Plumley, had a cigar in hand and puffs of smoke coming from his mouth.  There is no smoking ban on Atlantic City beaches, and much to smokers' relief, there won't be at any time soon.  After New Jersey lawmakers approved a bill that would ban smoking in all public parks and beaches in the state, Gov. Christie last month issued a conditional veto and instead offered to support a smoking ban solely on state-owned parks and beaches. The legislature must act on that proposal.  The bill vetoed by Christie would have expanded the New Jersey Smoke Free Air Act, which banned smoking in all indoor public spaces, to include every public park and beach. This essentially would make the state's entire 130-mile coastline - beaches from Sandy Hook to Cape May - smoke-free. The bill would also allow for beaches to establish designated smoking areas.  "I abhor smoking," Christie wrote in the veto. "But I continue to believe that the state should not impose its will upon our local governments, and instead continue to leave it up to towns and counties whether to ban smoking in their parks and beaches."  In 2014, Christie vetoed a similar bill that aimed to ban smoking on all public parks and beaches. This time, he offered changes to the bill instead of shutting it down completely, and mentioned that several local governments have imposed their own smoking bans.  Several New Jersey beaches have taken that matter into their own hands, as the veto language suggests. According to the America Nonsmoker's Rights Foundation, 15 beaches in New Jersey have implemented smoke-free beach laws.  Some beaches along Long Beach Island, for example, have implemented a smoking ban, including Long Beach Township and now Beach Haven, whose smoking ban went into effect on June 8.  "The mayor and council felt a responsibility to protect young children from secondhand smoke," said Beach Haven Municipal Clerk Sherry Mason. "They didn't want to wait."  Mason said the town had been discussing the ban and were waiting to see what the state would do, but the township came to the decision in April to prepare for the current beach season. This came two years after nearby Long Beach Township also implemented a ban on smoking along the beach.  Mason said beach rakes had been picking up a lot of cigarette butts, and this measure would help with that as beach seasons continue.  Denise Glass, 35, of Bordentown, said she frequently comes to LBI with her 3-year-old son. She's against smoking on the beach, and would take banned areas into consideration when choosing a place to go.  "It's just bad for you," she said. "I'm in support of a ban."  But not all jurisdictions along Long Beach Island have banned smoking. Surf City Mayor Francis Hodgson said after watching the governor's decision, the township does not intend to ban smoking on the beach.  "We discussed it, and the council and myself feel as though this is a family resort and a summer resort," he said. "People come away to relax and enjoy themselves - if a guy wants to sit on the beach and smoke a cigar, let him go."  While Hodgson said he doesn't smoke and does not enjoy the smell of it, the township doesn't want to "deprive somebody else of their enjoyment."  He said there have not been many problems with complaints about smokers on the beach, but he did say there have been some people who inquire about it. As of now, he said, he thinks it would be a challenge to enforce a ban.  Further down the shore, Ocean City has had a smoking ban along its boardwalk since 2014. While there is no ban on the beach, Doug Bergen, the city's public information officer, said he could see the administration discussing a law for the future, perhaps for the next summer season.  Lisa Ambrosino, 47, of Mount Laurel, came to visit Ocean City and lit up a cigarette while on the beach. She said she always cleans up her cigarette butts and makes an effort to avoid causing problems for others around her.  "It's my decision," she said, with a cigarette in hand. "We're outside. I understand secondhand smoke, but we're outside."  New Jersey Sierra Club director Jeff Tittel said he believes Christie is "sacrificing" the health and safety of people on the beach with the veto, considering secondhand smoke and potentially lit cigarettes buried in the sand.  "This is a health issue, and it's an important one. What our governor did was just wrong," he said. "We shouldn't be OK with turning our beaches into ashtrays."  Cora Rosenhaft, 41, of Damascus, Md., often visits Ocean City and was on vacation recently. She said she doesn't enjoy it when others smoke on the beach but understands that people want to.  "I prefer it when it isn't around," she said. "But it hasn't been a big problem while we're here."  Back in Atlantic City, cigarette butts were scattered throughout the Boardwalk and cigarette discard stations sat above the beach line on the boards.  Plumley, smoking a cigar while standing on the sand, said she wouldn't support a smoking ban on beaches and thinks the responsibility lies on those who are smoking to clean up and not bother nonsmokers. She said she "can't stand" people who don't clean up after themselves.  Assemblywoman Valerie Vainieri Huttle (D., Bergen), a primary sponsor of the bill, said she thinks it's not enough, though. When a new governor takes office, Huttle said, they will try to pass the bill again.  "I was hoping that the outcome would be different this session," Huttle said. "A uniform policy makes much more sense and, quite frankly, it protects the residents more equally."  Still, Huttle said she expects the amended bill to pass.  "It's better than nothing," she said. "I don't think we'll let this one go."	bing	15 beaches in New Jersey have implemented smoke-free beach laws									
3	9513a9db-3f29-3733-9570-d01c3a4837a7	President Obama Signs Bill Requiring Child Resistant E-Liquid Packaging	President Barack Obama signed S. 142, the “Child Nicotine Poisoning Prevention Act of 2015,” which was introduced a year ago by Senator Bill Nelson (D-Florida), Senator Kelly Ayotte (R-New Hampshire), and 20 other U.S. senators.  It requires the packaging of liquid nicotine containers to be subject to existing child poisoning prevention packaging standards. Child-resistant caps on e-liquid products were already the law in 15 states, and child-resistant packaging is also a requirement for members of the American E-Liquid Manufacturing Standards Association.  One teaspoon of liquid nicotine is potentially lethal to a child, according to the American Association of Poison Control Centers. In 2014, poison control centers reported 3,783 e-cigarette and liquid nicotine exposure cases, over half involving children under age 6. In December 2014, a 1-year-old boy in New York died after ingesting liquid nicotine.  Under the law, which the President signed last week, liquid nicotine can only be sold in child-resistant bottles and containers that meet the same standards as other potentially poisonous household substances, as set forth in the Poison Prevention Packaging Act of 1970.  The American Vaping Association and tobacco harm reduction and smoking cessation groups all agree that child-resistant packaging is needed and regulation was needed to prevent “bad actors” in the marketplace from putting kids at risk.  The law excludes sealed, pre-filled, and disposable containers that are inserted directly into an electronic cigarette.	bing	President Barack Obama signed S. 142, the “Child Nicotine Poisoning Prevention Act of 2015,” which was introduced a year ago by Senator Bill Nelson (D-Florida), Senator Kelly Ayotte (R-New Hampshire), and 20 other U.S. senators.  							 It requires the packaging of liquid nicotine containers to be subject to existing child poisoning prevention packaging standards.		
4	98f56b91-7b12-33ab-aa6f-311b39e017ae	As crisis looms, Oregon officials propose vaping ban	State health officials want Oregon stop the sale of vaping products as investigations in continue into mounting cases of illnesses and deaths. Those who vape have been asked by authorities, including Gov. Kate Brown, to voluntarily stop vaping. By Sam Stites - Oregon Capital BureauSeptember 28, 2019 at 5:08am Oregon State Capitol, governor's office (Salem Reporter/file) SALEM -- The Oregon Health Authority is recommending that Gov. Kate Brown ban for six months the display and sale of all vaping products, both nicotine and cannabis based. The recommendation is one of six related to curtailing use of vaping products across the state and comes after state officials, including the governor, urged consumers to voluntarily stop using vaping products. Brown has asked the state Justice Department to review the options before she takes executive action. The governor sought the health agency’s recommendations following the announcement Thursday of the second Oregon death related to vaping. State officials gave no indication when a ban might take effect, but Health Authority officials said such a ban should remain in place while federal agencies investigate vape-related illnesses. “The safety of this product has been in question for a long time,” Dr. Dean Sidelinger, state health officer, told reporters during a Sept. 26 press conference. “We know this product is not safe and have seen health effects from it with acute respiratory injuries and death. We do urge all individuals to stop vaping whether that’s nicotine-based products, cannabis products or other. People who haven’t vaped, shouldn’t start.” The Health Authority’s recommendations included improving access to federally -approved methods to quit smoking. The agency also proposes providing eight weeks of free nicotine-replacement therapy “without barriers,” according to an agency statement. The Health Authority also suggests that the state urge the FDA to regulate vaping products and establish a ban on internet sales of tobacco and online marketing of vaping products. The agency also wants health care providers to continue reporting cases of acute respiratory injury related to vaping so the state can compile data and establish a better understanding its health effects. Finally, the Health Authority recommended Brown create a workgroup of health professionals and government leaders to develop additional recommendations to address what the state now considers a crisis. “Our office will be working closely with DOJ, the OHA, and other relevant state agencies to determine a path forward under Oregon law that protects the public health of all Oregonians when it comes to vaping products,” the governor said in a statement. State health officials have so far identified five cases of acute respiratory illness related to vaping both nicotine-based products and cannabis products. The state’s first death related to vaping was announced Sept. 3. According to Sidelinger, the five patients who were hospitalized reported shortness of breath and trouble breathing, which progressed. More than 800 cases of vaping-related illness have been reported across the nation. There have been a dozen deaths reported in several states. “The latest individual who died, like the other case, was an adult, and did report using cannabis products,” said Sidelinger, who couldn’t provide more detailed information about the victim. Sidelinger said that the five people being treated had used licensed cannabis products. The Health Authority expects more cases to be reported. Dr. Jennifer Vines, Multnomah County deputy health officer, said her county sent a report to several hundred Portland-area health care providers echoing Sidelinger’s warning. The county also urged people to quit vaping and asked health care providers to watch for more cases. The warning came days after Multnomah County commissioners said they would work with state and federal officials to ban the sale of flavored nicotine products.	google	The county also urged people to quit vaping and asked health care providers to watch for more cases. The warning came days after Multnomah County commissioners said they would work with state and federal officials to ban the sale of flavored nicotine products.									We know this product is not safe and have seen health effects from it with acute respiratory injuries and death. We do urge all individuals to stop vaping whether that’s nicotine-based products, cannabis products or other. People who haven’t vaped, shouldn’t start.
5	792568d3-6e23-3451-965d-fd55260f8a73	As Worldwide Smoking Rates Fall, Africa’s Shoot Up — With Deadly Consequences	Globally, smoking rates are decreasing, but in many lower and middle income countries, African nations among them, rates are increasing. WHO data show a steep rise in smoking in many African countries, with many 5-year projected increases at 5% and more.i A proven public health strategy, harm reduction refers to policies, regulations, and actions that reduce health risks by providing safer forms of hazardous products or encouraging less risky behaviors, rather than simply banning them. Partnering with the information dissemination project, Tobacco Harm Reduction Malawi, and the newly launched Campaign for Safer Alternativesbased in Kenya, the GSTHR report’s publishers presented global findings on tobacco harm reduction, showing that many smokers have switched to safer products and dramatically reduced the risks associated with smoking. “We need to halt the dramatic rises in smoking rates in Africa which are predicted by WHO,” asserted Professor Gerry Stimson, Director of Knowledge∙Action∙Change and Emeritus Professor at Imperial College London. “Most smokers want to quit smoking, but they find it hard to stop using nicotine. Around the world, millions of lives depend on both consumer and government acceptance of safer alternatives to smoking.” Chimwemwe Ngoma, Project Manager, Tobacco Harm Reduction Malawi and holder of a Global Tobacco Harm Reduction Scholarship, declared: “Tobacco Harm Reduction Malawi believes that all citizens of Malawi should be informed of the health consequences, addictive nature, and mortal threat posed by tobacco consumption and exposure to tobacco smoke. Malawians should be able to make more informed public and personal choices, including having access to safer nicotine products, to enable them to live longer and healthier lives.” Joseph Magero, Chair of the Campaign for Safer Alternatives and holder of a Global Tobacco Harm Reduction Scholarship, noted: “Society’s relationship with tobacco and nicotine is changing due to developments in technology, such as vapes and other safer nicotine products. The Campaign for Safer Alternatives has formally launched this week to ensure more people across East Africa receive accurate information on alternatives to smoking. By arming people with information, we can finally begin to curb the tobacco epidemic.” The No Fire, No Smoke – Global State of Tobacco Harm Reduction 2018 report and this press release are published by Knowledge∙Action∙Change, a private sector public health agency based in the United Kingdom. i The graphic entitled African region – increasing daily tobacco prevalence trends can be downloaded and reproduced with credit to GSTHR at https://gsthr.org/images/charts/chapter2/2.5.jpgii March 13-14, 2019, Golden Peacock Hotel, Lilongwe, Malawi. For further information about the event, contact Chimwemwe Ngoma, as above.iii March 18, 2019, Hilton Garden Inn Hotel, Nairobi, Kenya. For further information about the event, contact Joseph Magero, as above. Our Facebook Page Pages Categories About Us Press releases submitted at Emirates Press Releases help companies to reach their target audience, drive traffic to their websites, increase link-bonds, improve search engine listings and help gain media coverage at local and international level.	rss					Globally, smoking rates are decreasing, but in many lower and middle income countries, African nations among them, rates are increasing.					
6	199ddc40-8fbb-311e-94dc-cb4625f07dba	Tobacco Smoke Residue Can Become Airborne Again Indoors	Residue from tobacco smoke can end up in indoor air even in nonsmoking spaces. Prawitr Sae Wa Ni/EyeEm / Getty Images Originally published on May 9, 2018 3:20 pm You might be breathing chemical residue from tobacco smoke in indoor spaces where no one has smoked for years. This was the surprise finding of a new study published Wednesday in the journal Science Advances. Researchers at Drexel University in Philadelphia found that chemicals left on clothing, furniture and other surfaces by tobacco smoke – known as thirdhand smoke — can become airborne and travel through a building's ventilation system. The researchers measured the air composition in a non-smoking, unoccupied classroom over the course of a month using an aerosol mass spectrometer. They initially wanted to see what happens to outdoor air particles when they come inside. But they kept noticing a chemical signature that was only indoors and not outdoors. They discovered it consisted of chemicals from thirdhand smoke — and made up 29 percent of the air mass in the room. "To add that much additional mass through one type of process is pretty large," says Peter DeCarlo, associate professor of environmental engineering and chemistry at Drexel and lead author on the study. "We didn't expect this at all." DeCarlo and his team looked into the mechanism that would allow compounds from tobacco smoke to end up in a room that hadn't allowed smoking in at least 20 to 25 years. What they discovered was that thirdhand smoke compounds were effectively hitching a ride on tiny particles in the air. The classroom they studied happened to be 20 meters down the hall from a balcony where people would sneak out for an unauthorized smoke. The room was also located near an office space where several smokers worked; that space shares the same HVAC system as the classroom in question. Though they could not identify the exact source, the researchers suspect the thirdhand smoke from these smokers made its way into the classroom and stuck to surfaces there. The compounds were then exposed to another chemical — possibly ammonia from people's breath or skin, or even cleaning products — and became gaseous again. "The chemistry of this is very interesting," says Neal Benowitz, professor of medicine at the University of California, San Francisco and a leader of the California Consortium on Thirdhand Smoke. He says scientists have known for some time that the nicotine levels in walls and furniture can persist for years. "What this study shows is that thirdhand smoke moves around the room," he says. The Drexel researchers suggest that after becoming gaseous again, smoke residue compounds can attach themselves to tiny air particles that come inside through a building's HVAC system, which in summer months pulls in outside air and chills it. That cooling process condenses water vapor in the air, which primes those outside particles — which can come from everything from car exhaust to power plant emissions — to react with thirdhand smoke gasses. Once the chemicals attach themselves to the air particles, the building's air distribution carries those chemicals throughout the building, including to the classroom researchers studied. All this means people could be unwittingly exposed to thirdhand smoke in higher volumes than previously thought — even in locations where smoking has been verboten for years. The Drexel researchers took their measurements in August 2014, at a time when the building's air conditioning unit was in heavy use. They confirmed the findings in the lab, and repeated the experiment in August 2016 with the same results. However, when they repeated the experiment in winter months, they found no thirdhand smoke compounds in the room, showing that the cooling of outside air was key for their uptake into the air. There aren't good data on the health effects of thirdhand smoke on humans. Studies have shown liver problems and metabolic issues in mice, but the area of study is relatively new when compared to the more established literature on secondhand smoke, for which the level of exposure to harmful chemicals is much greater than thirdhand smoke. However, Benowitz added, secondhand smoke exposure is usually limited to the time a smoker is in the room — a matter of minutes. "With thirdhand smoke, there is a constant source of exposure, day after day after day," he says. The findings could lead to further research on thirdhand smoke exposure from e-cigarettes. They don't contain many of the toxic chemicals produced by combustible cigarettes, but do contain nicotine, which can become airborne. DeCarlo hopes to do future studies on the impact both of vaping and of thirdhand smoke uptake in the home, where the ventilation systems are different than the ones used in commercial and office buildings. "Certainly I think this [study] needs to be considered when we think about how we are keeping our nonsmoking spaces as smoke-free as possible," he says. "How exactly it's combatted I think is going to be up for debate." Benowitz is currently looking for biomarkers to measure how much thirdhand smoke exposure a person has had. That will help with future studies about the exact impact thirdhand smoke has on humans. "It's difficult to study due to the overlap between secondhand smoke and thirdhand smoke," he says. But he adds, "It's certainly a concern and explains how people can be exposed to these chemicals even when they aren't regularly around smokers." Dana Bate (@danabate) is a health and science reporter living in Philadelphia.	webhose.io									Residue from tobacco smoke can end up in indoor air even in nonsmoking spaces.	
7	3fd3e298-b311-3bc5-9e2a-02ab7faf11fb	Nicotine chemistry, metabolism, kinetics and biomarkers.	Nicotine underlies tobacco addiction, influences tobacco use patterns, and is used as a pharmacological aid to smoking cessation. The absorption, distribution and disposition characteristics of nicotine from tobacco and medicinal products are reviewed. Nicotine is metabolized primarily by the liver enzymes CYP2A6, UDPglucuronosyltransferase (UGT), and flavin-containing monooxygenase (FMO). In addition to genetic factors, nicotine metabolism is influenced by diet and meals, age, sex, use of estrogen-containing hormone preparations, pregnancy and kidney disease, other medications, and smoking itself. Substantial racial/ethnic differences are observed in nicotine metabolism, which are likely influenced by both genetic and environmental factors. The most widely used biomarker of nicotine intake is cotinine, which may be measured in blood, urine, saliva, hair, or nails. The current optimal plasma cotinine cut-point to distinguish smokers from non-smokers in the general US population is 3 ng ml(-1). This cut-point is much lower than that established 20 years ago, reflecting less secondhand smoke exposure due to clear air policies and more light or occasional smoking.	bing										
8	559c50c1-09e0-392a-8aa2-47a78afb30b7	‘World leading’ health bill passes in Wales	A ‘radical’ health bill banning smoking on hospital grounds, school grounds and public playgrounds has been passed by the National Assembly of Wales. The decision has been welcomed by the BMA’s Welsh Council, who said it makes Wales a ‘world leader’ in public health policy.  The wide-ranging Public Health (Wales) Billwas voted through by Assembly Members on Tuesday 16 May. In addition to banning smoking in certain places, it prohibits tobacco and nicotine products from being handed to under 18s by home delivery or collection services, and will see the creation of a national register of tobacco/nicotine retailers.  The Bill also passes the following points into law:  Creating a mandatory licensing scheme for ‘special procedures’, namely acupuncture, body piercing, electrolysis and tattooing, and prohibiting the intimate piercing of anybody under the age of 18  Placing a duty on local authorities to prepare and publish a local toilets strategy, including an assessment of the need for toilets for public use and details of how that need will be met  Requiring public bodies in Wales to assess how their decisions will affect people’s physical and mental health  Making the planning of pharmacy services more responsive to the needs of local communities  Placing a duty on the Welsh government to produce a national strategy on preventing and reducing obesity.  Dr Phil Banfield, chair of the BMA’s Welsh Council, welcomed the decision: “This legislation positions Wales as a world leader in the application public health policy.”  He added that the bill “highlights the importance of taking a proactive and joined-up approach to tackling the causes of obesity and measures that can be taken to reduce them.”  In the run up to the vote, Minister for Social Services and Public Health Rebecca Evans said: “The Public Health (Wales) Bill is the latest in a long line of measures the Welsh government has introduced to improve the health and wellbeing of the people of Wales.  “It has a particular focus on promoting children and younger people’s health. Proposals such as the ban on smoking in school grounds, childcare settings and playgrounds are intended to prevent children from being exposed to smoking behaviours, making it less likely that they’ll take up smoking themselves.”  Contents  Quick Links  Help and Info  Communications International Group  The largest, most experienced publisher in the UK pharmacy sector  CIG is the UK's leading provider of sector-specific news and training, publishing 15 healthcare and beauty titles including Pharmacy Magazine, Training Matters, P3, Independent Community Pharmacist and Beauty Magazine. Over the years the company has built an enviable reputation in pharmacy, journalism, education, training, regulatory, awards and conferences, that today amounts to more than 350 years of healthcare industry experience.	mention.com	A ‘radical’ health bill banning smoking on hospital grounds, school grounds and public playgrounds has been passed by the National Assembly of Wales					it prohibits tobacco and nicotine products from being handed to under 18s by home delivery or collection services, and will see the creation of a national register of tobacco/nicotine retailers				
9	522b6540-de29-392c-a11c-e0a4a08f2de2	Hawaii Gets An F For Keeping E-Cigarette Flavors Within Kids' Reach - Honolulu	Hawaii got an A for keeping public spaces free of smoke but earned an F for failing to prevent access to flavored tobacco products such as menthol cigarettes and fruity-flavored electronic cigarettes, according to a report by the American Lung Association. While cigarette smoking has fallen to record lows in recent years due to a raft of tobacco control laws and gruesome yet effective public information campaigns, advocates and officials warn Hawaii and the nation remain in the grips of a “vaping epidemic” among high school students and young adults. “We saw our state being one of the best in tobacco use in youth – in 20 years, a lot of that has been eroded by vaping,” said Pedro Haro, executive director of the American Lung Association in Hawaii. “The new generation of adult tobacco users could be really astronomical in the cost of disease and death to the state.” The American Lung Association released its 2022 tobacco control report card for Hawaii, with scores ranging from an A for smoke-free air to an F for limiting flavored tobacco. Courtesy: Campaign for Tobacco-Free Kids/2021 The 20th annual “State of Tobacco Control” report, published Wednesday, examines the tobacco use policies of all 50 states and the District of Columbia, giving letter grades in five categories: smoke-free air, program funding, tobacco taxes, quitting services and flavor restrictions. Hawaii was early to ban smoking in most public areas, Haro said, including in restaurants and bars, government and private workplaces, state parks and within 20 feet of entrances, exits and air vents, and very much deserves its lone A grade, Haro said. “The state really had a comprehensive law established back in 2006,” Haro said. “There’s very few people that are exposed to secondhand smoke through their work, which is really the foresight of legislators and advocates at the time bringing this forward.” But despite its early success investing in smoke-free air and being the first state to raise the legal smoking age to 21, Hawaii has largely failed to prevent a new generation of teenagers from riding the wave of e-cigarettes, Haro said. Driven by viral “vape” brands such as Juul, Vuse and NJOY, e-cigarettes have exploded in popularity since the 2010s. Lured by kid-friendly flavors with names like Frozen Lime Drop and Hawaiian POG — a take on island-favorite Passion Orange Guava — rates of vaping among Hawaii high school students tripled from 10% in 2013 to 33% in 2019, according to the Hawaii Youth Tobacco Survey. Hawaii high school vaping rates of 10% were more than double the 4.5% national average in 2013, although mainland numbers have since caught up, according to the Centers for Disease Control and Prevention’s Youth Risk Behavior Surveillance System. There are flavorless and tobacco-scented e-cigarettes available, but youth overwhelmingly choose the fun flavors. Of the 85% of young U.S. users who opted for flavored vapes in 2021, the FDA found 72% frequented the fruity flavors, while around 30% reported using the candy/dessert, mint and menthol flavors, respectively. Flavored e-cigarettes are still readily available in-stores and online, as in this screenshot of Sand Island based e-cigarette shop Volcano’s website. Screenshot/2022 Yet despite this data, Hawaii currently has no law to target youth vaping by regulating the sale of flavored e-cigarettes, resulting in its failing grade in the ALA report card. This is not for lack of trying – in the 2021 legislative session alone, lawmakers introduced at least six bills banning flavored tobacco from stores, in whole or in part. Five died in committee; the last, House Bill 826, made it through the House before the Senate amended it to exempt menthol-flavored tobacco products. House lawmakers disagreed, and the measure died. “I know the conventional wisdom would say, ‘let’s get rid of the pineapple and the juicy fruits or whatever, obviously, child targeting flavors,’” Haro said. “But the data shows that menthol is one of the most preferred flavors for youth, including Hawaii.” There are federal limits on certain flavored tobacco products, however, regulations are patchwork in nature and riddled with loopholes. For example, a Trump-era Food and Drug Administration policy banned most flavors of cartridge-based e-cigarettes but stopped short of curtailing flavors for disposable and other e-cigarette varieties. Today, disposable e-cigarette line Puff Bar has become the favorite brand among youth, and flavored vapes and vape-refills remain readily available online and in-stores, a December 2021 Campaign for Tobacco Free Kids report found, leaving space for state-level intervention. “States and cities cannot wait for the FDA and must act now to close the gaps left by the FDA in order to fully protect kids,” the report wrote. While the e-cigarette industry and some public health experts maintain that vaping helps smokers quit the more-toxic cigarettes and, therefore, needs less regulation, opponents have pointed to signs of long-term lung illness and the potential for e-cigarettes to act as a “gateway” to nicotine addiction, especially among younger users. In a 2016 survey of adult Hawaii e-cigarette users, 40% of respondents reported they had never smoked cigarettes before vaping. Another 21% continued to smoke regularly, while 12% said they started using cigarettes after they began vaping. Besides its bookend-scores for limiting secondhand smoke and flavored tobacco, the ALA gave Hawaii a C for the taxes the state levees on various tobacco products and a C in its funding of tobacco control programs, with the state allocating just 62.6% of the $13.7 million recommended by the CDC, which calculates the amount according to the number of smokers in the state. The state fared better in public access to tobacco cessation services, receiving a B for a well-funded tobacco quit line and treatment covered by the state’s Med-Quest Medicaid plan. The primary issue, Haro said, was the absence of a state mandate requiring private insurers to pay for these services. “We just need that initial leadership to show again,” Haro said. “We need that initial spark to pass the legislation, allow the advocates to work with the communities to … finally see those tobacco numbers reduce.” Sign up for our FREE morning newsletter Sorry. That's an invalid e-mail. Thanks! We'll send you a confirmation e-mail shortly. And don't worry, we hate spam too! You can unsubscribe any time. The only news outlet in Hawaii dedicated to public affairs reporting. Our mission is to engage and educate the community on important public issues through in-depth reporting, explanatory and investigative journalism, analysis and commentary. Best Overall News Site Civil Beat has been named the best overall news site in Hawaii for the 10th year in a row by the Society of Professional Journalists Hawaii Chapter.	twitter_curated	Hawaii was early to ban smoking in most public areas, Haro said, including in restaurants and bars, government and private workplaces, state parks and within 20 feet of entrances, exits and air vents	40% of respondents reported they had never smoked cigarettes before vaping. Another 21% continued to smoke regularly, while 12% said they started using cigarettes after they began vaping	rates of vaping among Hawaii high school students tripled from 10% in 2013 to 33% in 2019, according to the Hawaii Youth Tobacco Survey			raise the legal smoking age to 21		Trump-era Food and Drug Administration policy banned most flavors of cartridge-based e-cigarettes but stopped short of curtailing flavors for disposable and other e-cigarette varieties		
10	31457088-9f62-3cd1-891f-6723bb3f62cb	NEWS: Report: Industry Targeting Continues to Harm the Black Community	April 9th, 2021 The Campaign for Tobacco Free Kids released a report in February explaining how the targeted marketing of menthol products by the tobacco industry has harmed Black communities. Tobacco industry targeting through marketing, event sponsorships, and retail promotions has caused smoking rates of menthol cigarettes among Black Americans to climb consistently for 60+ years. Menthol cigarettes are even more harmful than other cigarettes, in part due to the fact that menthol masks the harsh taste of tobacco and is easier to inhale deeply. This has led to more young people using menthol, a more intense addiction, and even more difficulty quitting.. Tobacco use, specifically menthol products, is a major contributor to three leading causes of death among Black Americans: heart disease, cancer and stroke. The report also includes the following key findings: In the 1950s, less than 10% of Black people who smoke used menthol cigarettes; today, 85% of Black people who smoke use menthol. Menthol cigarettes continue to be heavily advertised, widely available, and priced cheaper in Black communities. The cooling mint flavor of menthol numbs the throat and reduces the harshness of tobacco smoke, making menthol cigarettes more appealing and easier to use.As a result, menthol cigarettes increase the number of youth and young adults who experiment with cigarettes and become smokers. Young people who start smoking menthol cigarettes are more likely to become addicted and long-term daily smokers. The report is supported by 11 organizations that advocate for tobacco-free communities and health equity for Black communities nationwide. Privacy Overview This website uses cookies to improve your experience while you navigate through the website. Out of these, the cookies that are categorized as necessary are stored on your browser as they are essential for the working of basic functionalities of the website. We also use third-party cookies that help us analyze and understand how you use this website. These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may affect your browsing experience. Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information. Any cookies that may not be particularly necessary for the website to function and is used specifically to collect user personal data via analytics, ads, other embedded contents are termed as non-necessary cookies. It is mandatory to procure user consent prior to running these cookies on your website.	twitter_curated					Tobacco industry targeting through marketing, event sponsorships, and retail promotions has caused smoking rates of menthol cigarettes among Black Americans to climb consistently for 60+ years					
